Datum,Value,Code
2017-01-01 00:00:00,348,A01-80-(30)
2017-01-01 00:00:00,1125,AHEK
2017-01-01 00:00:00,25,C02-80
2017-01-01 00:00:00,632,J16-90
2017-01-01 00:00:00,851,PB6090
2017-01-01 00:00:00,509,TB80120G
2017-01-02 00:00:00,359,A01-80-(30)
2017-01-02 00:00:00,1166,AHEK
2017-01-02 00:00:00,28,C02-80
2017-01-02 00:00:00,662,J16-90
2017-01-02 00:00:00,859,PB6090
2017-01-02 00:00:00,547,TB80120G
2017-01-03 00:00:00,366,A01-80-(30)
2017-01-03 00:00:00,1175,AHEK
2017-01-03 00:00:00,29,C02-80
2017-01-03 00:00:00,680,J16-90
2017-01-03 00:00:00,863,PB6090
2017-01-03 00:00:00,579,TB80120G
2017-01-04 00:00:00,380,A01-80-(30)
2017-01-04 00:00:00,1164,AHEK
2017-01-04 00:00:00,28,C02-80
2017-01-04 00:00:00,699,J16-90
2017-01-04 00:00:00,860,PB6090
2017-01-04 00:00:00,590,TB80120G
2017-01-05 00:00:00,402,A01-80-(30)
2017-01-05 00:00:00,1189,AHEK
2017-01-05 00:00:00,29,C02-80
2017-01-05 00:00:00,751,J16-90
2017-01-05 00:00:00,897,PB6090
2017-01-05 00:00:00,614,TB80120G
2017-01-06 00:00:00,420,A01-80-(30)
2017-01-06 00:00:00,1271,AHEK
2017-01-06 00:00:00,29,C02-80
2017-01-06 00:00:00,780,J16-90
2017-01-06 00:00:00,1073,PB6090
2017-01-06 00:00:00,684,TB80120G
2017-01-07 00:00:00,412,A01-80-(30)
2017-01-07 00:00:00,1247,AHEK
2017-01-07 00:00:00,28,C02-80
2017-01-07 00:00:00,750,J16-90
2017-01-07 00:00:00,1062,PB6090
2017-01-07 00:00:00,666,TB80120G
2017-01-08 00:00:00,412,A01-80-(30)
2017-01-08 00:00:00,1245,AHEK
2017-01-08 00:00:00,28,C02-80
2017-01-08 00:00:00,750,J16-90
2017-01-08 00:00:00,1062,PB6090
2017-01-08 00:00:00,666,TB80120G
2017-01-09 00:00:00,507,A01-80-(30)
2017-01-09 00:00:00,1603,AHEK
2017-01-09 00:00:00,37,C02-80
2017-01-09 00:00:00,1014,J16-90
2017-01-09 00:00:00,1200,PB6090
2017-01-09 00:00:00,750,TB80120G
2017-01-10 00:00:00,526,A01-80-(30)
2017-01-10 00:00:00,1734,AHEK
2017-01-10 00:00:00,36,C02-80
2017-01-10 00:00:00,1077,J16-90
2017-01-10 00:00:00,1222,PB6090
2017-01-10 00:00:00,774,TB80120G
2017-01-11 00:00:00,534,A01-80-(30)
2017-01-11 00:00:00,1741,AHEK
2017-01-11 00:00:00,36,C02-80
2017-01-11 00:00:00,1117,J16-90
2017-01-11 00:00:00,1230,PB6090
2017-01-11 00:00:00,779,TB80120G
2017-01-12 00:00:00,541,A01-80-(30)
2017-01-12 00:00:00,1729,AHEK
2017-01-12 00:00:00,37,C02-80
2017-01-12 00:00:00,1109,J16-90
2017-01-12 00:00:00,1208,PB6090
2017-01-12 00:00:00,795,TB80120G
2017-01-13 00:00:00,557,A01-80-(30)
2017-01-13 00:00:00,1786,AHEK
2017-01-13 00:00:00,38,C02-80
2017-01-13 00:00:00,1108,J16-90
2017-01-13 00:00:00,1230,PB6090
2017-01-13 00:00:00,830,TB80120G
2017-01-14 00:00:00,510,A01-80-(30)
2017-01-14 00:00:00,1651,AHEK
2017-01-14 00:00:00,38,C02-80
2017-01-14 00:00:00,975,J16-90
2017-01-14 00:00:00,1184,PB6090
2017-01-14 00:00:00,801,TB80120G
2017-01-15 00:00:00,510,A01-80-(30)
2017-01-15 00:00:00,1643,AHEK
2017-01-15 00:00:00,38,C02-80
2017-01-15 00:00:00,971,J16-90
2017-01-15 00:00:00,1184,PB6090
2017-01-15 00:00:00,801,TB80120G
2017-01-16 00:00:00,568,A01-80-(30)
2017-01-16 00:00:00,1799,AHEK
2017-01-16 00:00:00,38,C02-80
2017-01-16 00:00:00,1107,J16-90
2017-01-16 00:00:00,1261,PB6090
2017-01-16 00:00:00,844,TB80120G
2017-01-17 00:00:00,570,A01-80-(30)
2017-01-17 00:00:00,1788,AHEK
2017-01-17 00:00:00,36,C02-80
2017-01-17 00:00:00,1104,J16-90
2017-01-17 00:00:00,1255,PB6090
2017-01-17 00:00:00,865,TB80120G
2017-01-18 00:00:00,566,A01-80-(30)
2017-01-18 00:00:00,1846,AHEK
2017-01-18 00:00:00,37,C02-80
2017-01-18 00:00:00,1134,J16-90
2017-01-18 00:00:00,1233,PB6090
2017-01-18 00:00:00,872,TB80120G
2017-01-19 00:00:00,589,A01-80-(30)
2017-01-19 00:00:00,1868,AHEK
2017-01-19 00:00:00,38,C02-80
2017-01-19 00:00:00,1153,J16-90
2017-01-19 00:00:00,1234,PB6090
2017-01-19 00:00:00,866,TB80120G
2017-01-20 00:00:00,605,A01-80-(30)
2017-01-20 00:00:00,1885,AHEK
2017-01-20 00:00:00,39,C02-80
2017-01-20 00:00:00,1166,J16-90
2017-01-20 00:00:00,1267,PB6090
2017-01-20 00:00:00,880,TB80120G
2017-01-21 00:00:00,563,A01-80-(30)
2017-01-21 00:00:00,1797,AHEK
2017-01-21 00:00:00,39,C02-80
2017-01-21 00:00:00,1090,J16-90
2017-01-21 00:00:00,1220,PB6090
2017-01-21 00:00:00,867,TB80120G
2017-01-22 00:00:00,570,A01-80-(30)
2017-01-22 00:00:00,1812,AHEK
2017-01-22 00:00:00,39,C02-80
2017-01-22 00:00:00,1099,J16-90
2017-01-22 00:00:00,1229,PB6090
2017-01-22 00:00:00,888,TB80120G
2017-01-23 00:00:00,607,A01-80-(30)
2017-01-23 00:00:00,1965,AHEK
2017-01-23 00:00:00,44,C02-80
2017-01-23 00:00:00,1187,J16-90
2017-01-23 00:00:00,1350,PB6090
2017-01-23 00:00:00,948,TB80120G
2017-01-24 00:00:00,614,A01-80-(30)
2017-01-24 00:00:00,1995,AHEK
2017-01-24 00:00:00,44,C02-80
2017-01-24 00:00:00,1250,J16-90
2017-01-24 00:00:00,1313,PB6090
2017-01-24 00:00:00,949,TB80120G
2017-01-25 00:00:00,641,A01-80-(30)
2017-01-25 00:00:00,2092,AHEK
2017-01-25 00:00:00,46,C02-80
2017-01-25 00:00:00,1263,J16-90
2017-01-25 00:00:00,1387,PB6090
2017-01-25 00:00:00,998,TB80120G
2017-01-26 00:00:00,619,A01-80-(30)
2017-01-26 00:00:00,2065,AHEK
2017-01-26 00:00:00,47,C02-80
2017-01-26 00:00:00,1223,J16-90
2017-01-26 00:00:00,1365,PB6090
2017-01-26 00:00:00,1013,TB80120G
2017-01-27 00:00:00,631,A01-80-(30)
2017-01-27 00:00:00,2083,AHEK
2017-01-27 00:00:00,47,C02-80
2017-01-27 00:00:00,1242,J16-90
2017-01-27 00:00:00,1361,PB6090
2017-01-27 00:00:00,1025,TB80120G
2017-01-28 00:00:00,597,A01-80-(30)
2017-01-28 00:00:00,1981,AHEK
2017-01-28 00:00:00,47,C02-80
2017-01-28 00:00:00,1160,J16-90
2017-01-28 00:00:00,1348,PB6090
2017-01-28 00:00:00,1008,TB80120G
2017-01-29 00:00:00,597,A01-80-(30)
2017-01-29 00:00:00,1977,AHEK
2017-01-29 00:00:00,47,C02-80
2017-01-29 00:00:00,1156,J16-90
2017-01-29 00:00:00,1348,PB6090
2017-01-29 00:00:00,1006,TB80120G
2017-01-30 00:00:00,730,A01-80-(30)
2017-01-30 00:00:00,2254,AHEK
2017-01-30 00:00:00,48,C02-80
2017-01-30 00:00:00,1414,J16-90
2017-01-30 00:00:00,1506,PB6090
2017-01-30 00:00:00,1080,TB80120G
2017-01-31 00:00:00,731,A01-80-(30)
2017-01-31 00:00:00,2279,AHEK
2017-01-31 00:00:00,47,C02-80
